	ID	Name
赣粤高速(600269)	600269	赣粤高速
外运发展(600270)	600270	外运发展
航天信息(600271)	600271	航天信息
开开实业(600272)	600272	开开实业
嘉化能源(600273)	600273	嘉化能源
武昌鱼(600275)	600275	武昌鱼
恒瑞医药(600276)	600276	恒瑞医药
亿利能源(600277)	600277	亿利能源
东方创业(600278)	600278	东方创业
重庆港九(600279)	600279	重庆港九
中央商场(600280)	600280	中央商场
太化股份(600281)	600281	太化股份
南钢股份(600282)	600282	南钢股份
钱江水利(600283)	600283	钱江水利
浦东建设(600284)	600284	浦东建设
羚锐制药(600285)	600285	羚锐制药
S*ST国瓷(600286)	600286	S*ST国瓷
江苏舜天(600287)	600287	江苏舜天
大恒科技(600288)	600288	大恒科技
亿阳信通(600289)	600289	亿阳信通
华仪电气(600290)	600290	华仪电气
西水股份(600291)	600291	西水股份
中电远达(600292)	600292	中电远达
三峡新材(600293)	600293	三峡新材
鄂尔多斯(600295)	600295	鄂尔多斯
S兰铝(600296)	600296	S兰铝
美罗药业(600297)	600297	美罗药业
安琪酵母(600298)	600298	安琪酵母
蓝星新材(600299)	600299	蓝星新材
维维股份(600300)	600300	维维股份
*ST南化(600301)	600301	*ST南化
标准股份(600302)	600302	标准股份
曙光股份(600303)	600303	曙光股份
XD恒顺醋(600305)	600305	XD恒顺醋
商业城(600306)	600306	商业城
酒钢宏兴(600307)	600307	酒钢宏兴
华泰股份(600308)	600308	华泰股份
万华化学(600309)	600309	万华化学
桂东电力(600310)	600310	桂东电力
荣华实业(600311)	600311	荣华实业
平高电气(600312)	600312	平高电气
农发种业(600313)	600313	农发种业
上海家化(600315)	600315	上海家化
洪都航空(600316)	600316	洪都航空
营口港(600317)	600317	营口港
巢东股份(600318)	600318	巢东股份
亚星化学(600319)	600319	亚星化学
振华重工(600320)	600320	振华重工
国栋建设(600321)	600321	国栋建设
天房发展(600322)	600322	天房发展
瀚蓝环境(600323)	600323	瀚蓝环境
华发股份(600325)	600325	华发股份
西藏天路(600326)	600326	西藏天路
大东方(600327)	600327	大东方
兰太实业(600328)	600328	兰太实业
中新药业(600329)	600329	中新药业
天通股份(600330)	600330	天通股份
宏达股份(600331)	600331	宏达股份
白云山(600332)	600332	白云山
长春燃气(600333)	600333	长春燃气
国机汽车(600335)	600335	国机汽车
澳柯玛(600336)	600336	澳柯玛
美克家居(600337)	600337	美克家居
西藏珠峰(600338)	600338	西藏珠峰
天利高新(600339)	600339	天利高新
华夏幸福(600340)	600340	华夏幸福
航天动力(600343)	600343	航天动力
长江通信(600345)	600345	长江通信
大橡塑(600346)	600346	大橡塑
阳泉煤业(600348)	600348	阳泉煤业
富通昭和(600349)	600349	富通昭和
山东高速(600350)	600350	山东高速
亚宝药业(600351)	600351	亚宝药业
浙江龙盛(600352)	600352	浙江龙盛
旭光股份(600353)	600353	旭光股份
敦煌种业(600354)	600354	敦煌种业
精伦电子(600355)	600355	精伦电子
恒丰纸业(600356)	600356	恒丰纸业
承德钒钛(600357)	600357	承德钒钛
国旅联合(600358)	600358	国旅联合
新农开发(600359)	600359	新农开发
华微电子(600360)	600360	华微电子
华联综超(600361)	600361	华联综超
江西铜业(600362)	600362	江西铜业
联创光电(600363)	600363	联创光电
通葡股份(600365)	600365	通葡股份
宁波韵升(600366)	600366	宁波韵升
红星发展(600367)	600367	红星发展
五洲交通(600368)	600368	五洲交通
西南证券(600369)	600369	西南证券
三房巷(600370)	600370	三房巷
万向德农(600371)	600371	万向德农
中航电子(600372)	600372	中航电子
中文传媒(600373)	600373	中文传媒
华菱星马(600375)	600375	华菱星马
首开股份(600376)	600376	首开股份
宁沪高速(600377)	600377	宁沪高速
天科股份(600378)	600378	天科股份
宝光股份(600379)	600379	宝光股份
健康元(600380)	600380	健康元
青海春天(600381)	600381	青海春天
广东明珠(600382)	600382	广东明珠
金地集团(600383)	600383	金地集团
山东金泰(600385)	600385	山东金泰
北巴传媒(600386)	600386	北巴传媒
海越股份(600387)	600387	海越股份
龙净环保(600388)	600388	龙净环保
江山股份(600389)	600389	江山股份
金瑞科技(600390)	600390	金瑞科技
成发科技(600391)	600391	成发科技
盛和资源(600392)	600392	盛和资源
东华实业(600393)	600393	东华实业
盘江股份(600395)	600395	盘江股份
金山股份(600396)	600396	金山股份
安源煤业(600397)	600397	安源煤业
海澜之家(600398)	600398	海澜之家
抚顺特钢(600399)	600399	抚顺特钢
红豆股份(600400)	600400	红豆股份
*ST海润(600401)	600401	*ST海润
大有能源(600403)	600403	大有能源
动力源(600405)	600405	动力源
国电南瑞(600406)	600406	国电南瑞
*ST安泰(600408)	600408	*ST安泰
三友化工(600409)	600409	三友化工
华胜天成(600410)	600410	华胜天成
小商品城(600415)	600415	小商品城
湘电股份(600416)	600416	湘电股份
江淮汽车(600418)	600418	江淮汽车
天润乳业(600419)	600419	天润乳业
现代制药(600420)	600420	现代制药
仰帆控股(600421)	600421	仰帆控股
昆药集团(600422)	600422	昆药集团
柳化股份(600423)	600423	柳化股份
青松建化(600425)	600425	青松建化
XD华鲁恒(600426)	600426	XD华鲁恒
中远航运(600428)	600428	中远航运
三元股份(600429)	600429	三元股份
吉恩镍业(600432)	600432	吉恩镍业
冠豪高新(600433)	600433	冠豪高新
北方导航(600435)	600435	北方导航
片仔癀(600436)	600436	片仔癀
通威股份(600438)	600438	通威股份
瑞贝卡(600439)	600439	瑞贝卡
*ST国通(600444)	600444	*ST国通
金证股份(600446)	600446	金证股份
华纺股份(600448)	600448	华纺股份
宁夏建材(600449)	600449	宁夏建材
涪陵电力(600452)	600452	涪陵电力
博通股份(600455)	600455	博通股份
宝钛股份(600456)	600456	宝钛股份
时代新材(600458)	600458	时代新材
贵研铂业(600459)	600459	贵研铂业
士兰微(600460)	600460	士兰微
洪城水业(600461)	600461	洪城水业
石岘纸业(600462)	600462	石岘纸业
空港股份(600463)	600463	空港股份
蓝光发展(600466)	600466	蓝光发展
好当家(600467)	600467	好当家
百利电气(600468)	600468	百利电气
风神股份(600469)	600469	风神股份
六国化工(600470)	600470	六国化工
包头铝业(600472)	600472	包头铝业
华光股份(600475)	600475	华光股份
湘邮科技(600476)	600476	湘邮科技
杭萧钢构(600477)	600477	杭萧钢构
科力远(600478)	600478	科力远
千金药业(600479)	600479	千金药业
凌云股份(600480)	600480	凌云股份
双良节能(600481)	600481	双良节能
风帆股份(600482)	600482	风帆股份
福能股份(600483)	600483	福能股份
信威集团(600485)	600485	信威集团
扬农化工(600486)	600486	扬农化工
亨通光电(600487)	600487	亨通光电
天药股份(600488)	600488	天药股份
中金黄金(600489)	600489	中金黄金
鹏欣资源(600490)	600490	鹏欣资源
龙元建设(600491)	600491	龙元建设
凤竹纺织(600493)	600493	凤竹纺织
晋西车轴(600495)	600495	晋西车轴
精工钢构(600496)	600496	精工钢构
驰宏锌锗(600497)	600497	驰宏锌锗
烽火通信(600498)	600498	烽火通信
科达洁能(600499)	600499	科达洁能
中化国际(600500)	600500	中化国际
航天晨光(600501)	600501	航天晨光
安徽水利(600502)	600502	安徽水利
华丽家族(600503)	600503	华丽家族
西昌电力(600505)	600505	西昌电力
香梨股份(600506)	600506	香梨股份
方大特钢(600507)	600507	方大特钢
上海能源(600508)	600508	上海能源
天富能源(600509)	600509	天富能源
黑牡丹(600510)	600510	黑牡丹
国药股份(600511)	600511	国药股份
腾达建设(600512)	600512	腾达建设
联环药业(600513)	600513	联环药业
